alliance,mobilityRobot1,autoChargeStationRobot1,endGameChargeStationRobot1,mobilityRobot2,autoChargeStationRobot2,endGameChargeStationRobot2,mobilityRobot3,autoChargeStationRobot3,endGameChargeStationRobot3,autoCommunity,autoGamePieceCount,autoMobilityPoints,autoPoints,autoDocked,autoBridgeState,autoGamePiecePoints,autoChargeStationPoints,teleopCommunity,teleopGamePieceCount,teleopPoints,teleopGamePiecePoints,extraGamePieceCount,endGameChargeStationPoints,endGameParkPoints,endGameBridgeState,links,linkPoints,activationBonusAchieved,sustainabilityBonusAchieved,coopertitionCriteriaMet,coopGamePieceCount,totalChargeStationPoints,foulCount,techFoulCount,g405Penalty,h111Penalty,adjustPoints,foulPoints,rp,totalPoints
Blue,No,None,Docked,No,None,Park,No,None,Docked,"{'T': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'Cone', 'None', 'Cube', 'None'], 'B': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']}",2,0,8,False,NotLevel,8,0,"{'T': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'Cone', 'Cube', 'Cone', 'Cone', 'Cube', 'Cone'], 'B': ['Cube', 'Cone', 'Cone', 'None', 'None', 'None', 'Cube', 'Cube', 'None']}",11,44,22,0,20,2,Level,"[{'row': 'Bottom', 'nodes': [0, 1, 2]}, {'row': 'Mid', 'nodes': [3, 4, 5]}, {'row': 'Mid', 'nodes': [6, 7, 8]}]",15,False,False,True,3,20,0,0,False,False,0,15,2,82
Red,No,None,None,No,None,Docked,Yes,None,Docked,"{'T': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'Cube', 'None'], 'B': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']}",1,3,7,False,Level,4,0,"{'T': ['Cone', 'Cube', 'Cone', 'Cone', 'None', 'Cone', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'Cube', 'None'], 'B': ['None', 'None', 'None', 'None', 'None', 'None', 'Cube', 'Cube', 'Cube']}",9,51,31,0,20,0,Level,"[{'row': 'Bottom', 'nodes': [6, 7, 8]}, {'row': 'Top', 'nodes': [0, 1, 2]}]",10,False,False,False,2,20,3,0,False,False,0,0,0,68
