alliance,mobilityRobot1,autoChargeStationRobot1,endGameChargeStationRobot1,mobilityRobot2,autoChargeStationRobot2,endGameChargeStationRobot2,mobilityRobot3,autoChargeStationRobot3,endGameChargeStationRobot3,autoCommunity,autoGamePieceCount,autoMobilityPoints,autoPoints,autoDocked,autoBridgeState,autoGamePiecePoints,autoChargeStationPoints,teleopCommunity,teleopGamePieceCount,teleopPoints,teleopGamePiecePoints,extraGamePieceCount,endGameChargeStationPoints,endGameParkPoints,endGameBridgeState,links,linkPoints,activationBonusAchieved,sustainabilityBonusAchieved,coopertitionCriteriaMet,coopGamePieceCount,totalChargeStationPoints,foulCount,techFoulCount,g405Penalty,h111Penalty,adjustPoints,foulPoints,rp,totalPoints
Blue,No,None,Docked,No,None,Docked,No,Docked,Park,"{'T': ['None', 'None', 'None', 'None', 'None', 'Cone', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']}",1,0,18,True,Level,6,12,"{'T': ['Cone', 'Cube', 'Cone', 'Cone', 'Cube', 'Cone', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['Cone', 'Cube', 'Cone', 'None', 'Cube', 'None', 'None', 'None', 'None']}",10,55,33,0,20,2,Level,"[{'row': 'Bottom', 'nodes': [0, 1, 2]}, {'row': 'Top', 'nodes': [0, 1, 2]}, {'row': 'Top', 'nodes': [3, 4, 5]}]",15,True,False,True,4,32,1,0,False,False,0,0,3,88
Red,Yes,None,Docked,No,Docked,None,No,None,Docked,"{'T': ['None', 'None', 'None', 'None', 'Cube', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']}",1,3,17,True,NotLevel,6,8,"{'T': ['None', 'None', 'None', 'Cone', 'Cube', 'None', 'None', 'None', 'None'], 'M': ['Cone', 'Cube', 'Cone', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['None', 'None', 'None', 'None', 'None', 'Cone', 'None', 'Cube', 'None']}",7,38,18,0,20,0,Level,"[{'row': 'Mid', 'nodes': [0, 1, 2]}]",5,True,False,True,3,28,0,0,False,False,0,5,1,65
