alliance,mobilityRobot1,autoChargeStationRobot1,endGameChargeStationRobot1,mobilityRobot2,autoChargeStationRobot2,endGameChargeStationRobot2,mobilityRobot3,autoChargeStationRobot3,endGameChargeStationRobot3,autoCommunity,autoGamePieceCount,autoMobilityPoints,autoPoints,autoDocked,autoBridgeState,autoGamePiecePoints,autoChargeStationPoints,teleopCommunity,teleopGamePieceCount,teleopPoints,teleopGamePiecePoints,extraGamePieceCount,endGameChargeStationPoints,endGameParkPoints,endGameBridgeState,links,linkPoints,activationBonusAchieved,sustainabilityBonusAchieved,coopertitionCriteriaMet,coopGamePieceCount,totalChargeStationPoints,foulCount,techFoulCount,g405Penalty,h111Penalty,adjustPoints,foulPoints,rp,totalPoints
Blue,No,Docked,Docked,Yes,None,None,No,None,None,"{'T': ['None', 'None', 'None', 'None', 'Cube', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['Cone', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']}",2,3,20,True,NotLevel,9,8,"{'T': ['None', 'None', 'None', 'None', 'Cube', 'None', 'None', 'Cube', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['Cone', 'None', 'None', 'None', 'None', 'None', 'None', 'Cone', 'None']}",4,17,7,0,10,0,Level,[],0,False,False,False,1,18,2,0,False,False,0,5,0,42
Red,No,None,Park,Yes,None,Park,No,None,None,"{'T': ['None', 'None', 'None', 'None', 'Cube', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']}",1,3,9,False,NotLevel,6,0,"{'T': ['None', 'None', 'None', 'None', 'Cube', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'Cone', 'Cube', 'Cone'], 'B': ['Cube', 'Cube', 'Cube', 'Cube', 'None', 'Cone', 'Cube', 'None', 'None']}",10,25,21,0,0,4,NotLevel,"[{'row': 'Bottom', 'nodes': [0, 1, 2]}, {'row': 'Mid', 'nodes': [6, 7, 8]}]",10,False,False,True,3,0,1,0,False,False,0,10,2,54
