,alliance,mobilityRobot1,autoChargeStationRobot1,endGameChargeStationRobot1,mobilityRobot2,autoChargeStationRobot2,endGameChargeStationRobot2,mobilityRobot3,autoChargeStationRobot3,endGameChargeStationRobot3,autoCommunity,autoGamePieceCount,autoMobilityPoints,autoPoints,autoDocked,autoBridgeState,autoGamePiecePoints,autoChargeStationPoints,teleopCommunity,teleopGamePieceCount,teleopPoints,teleopGamePiecePoints,extraGamePieceCount,endGameChargeStationPoints,endGameParkPoints,endGameBridgeState,links,linkPoints,activationBonusAchieved,sustainabilityBonusAchieved,coopertitionCriteriaMet,coopGamePieceCount,totalChargeStationPoints,foulCount,techFoulCount,g405Penalty,h111Penalty,adjustPoints,foulPoints,rp,totalPoints
0,Blue,No,None,Park,Yes,None,Docked,Yes,None,Park,"{'T': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['None', 'Cube', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']}",1,6,10,False,Level,4,0,"{'T': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['Cone', 'Cube', 'Cone', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['Cube', 'Cube', 'None', 'None', 'None', 'None', 'None', 'None', 'Cone']}",6,26,12,0,10,4,Level,"[{'row': 'Mid', 'nodes': [0, 1, 2]}]",5,False,False,False,0,10,0,0,False,False,0,0,0,41
1,Red,No,None,Docked,No,Docked,Docked,Yes,None,Park,"{'T': ['None', 'Cube', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['None', 'None', 'None', 'Cone', 'None', 'None', 'None', 'None', 'Cube']}",3,3,27,True,Level,12,12,"{'T': ['None', 'Cube', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['Cone', 'None', 'None', 'None', 'None', 'None', 'Cone', 'Cube', 'Cone'], 'B': ['None', 'None', 'None', 'Cone', 'Cone', 'Cube', 'Cone', 'Cone', 'Cube']}",11,42,20,0,20,2,Level,"[{'row': 'Bottom', 'nodes': [3, 4, 5]}, {'row': 'Bottom', 'nodes': [6, 7, 8]}, {'row': 'Mid', 'nodes': [6, 7, 8]}]",15,True,False,True,3,32,0,0,False,False,0,0,3,84
