alliance,mobilityRobot1,autoChargeStationRobot1,endGameChargeStationRobot1,mobilityRobot2,autoChargeStationRobot2,endGameChargeStationRobot2,mobilityRobot3,autoChargeStationRobot3,endGameChargeStationRobot3,autoCommunity,autoGamePieceCount,autoMobilityPoints,autoPoints,autoDocked,autoBridgeState,autoGamePiecePoints,autoChargeStationPoints,teleopCommunity,teleopGamePieceCount,teleopPoints,teleopGamePiecePoints,extraGamePieceCount,endGameChargeStationPoints,endGameParkPoints,endGameBridgeState,links,linkPoints,activationBonusAchieved,sustainabilityBonusAchieved,coopertitionCriteriaMet,coopGamePieceCount,totalChargeStationPoints,foulCount,techFoulCount,g405Penalty,h111Penalty,adjustPoints,foulPoints,rp,totalPoints
Blue,Yes,None,Docked,No,None,Docked,No,Docked,Park,"{'T': ['None', 'None', 'None', 'None', 'Cube', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['None', 'Cube', 'None', 'None', 'None', 'None', 'None', 'None', 'None']}",2,3,20,True,NotLevel,9,8,"{'T': ['None', 'Cube', 'None', 'None', 'Cube', 'Cone', 'None', 'None', 'Cone'], 'M': ['None', 'Cube', 'None', 'None', 'None', 'None', 'None', 'Cube', 'None'], 'B': ['None', 'Cube', 'Cube', 'Cube', 'None', 'None', 'Cube', 'Cube', 'None']}",11,51,29,0,20,2,Level,"[{'row': 'Bottom', 'nodes': [1, 2, 3]}]",5,True,False,True,3,28,0,0,False,False,0,15,3,91
Red,Yes,None,Park,No,None,Docked,No,None,Docked,"{'T': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['Cube', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']}",1,3,6,False,Level,3,0,"{'T': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['Cube', 'None', 'Cube', 'None', 'Cube', 'Cube', 'Cube', 'Cube', 'Cone']}",7,34,12,0,20,2,Level,"[{'row': 'Bottom', 'nodes': [4, 5, 6]}]",5,False,False,False,2,20,3,0,False,False,0,0,0,45
