,alliance,mobilityRobot1,autoChargeStationRobot1,endGameChargeStationRobot1,mobilityRobot2,autoChargeStationRobot2,endGameChargeStationRobot2,mobilityRobot3,autoChargeStationRobot3,endGameChargeStationRobot3,autoCommunity,autoGamePieceCount,autoMobilityPoints,autoPoints,autoDocked,autoBridgeState,autoGamePiecePoints,autoChargeStationPoints,teleopCommunity,teleopGamePieceCount,teleopPoints,teleopGamePiecePoints,extraGamePieceCount,endGameChargeStationPoints,endGameParkPoints,endGameBridgeState,links,linkPoints,activationBonusAchieved,sustainabilityBonusAchieved,coopertitionCriteriaMet,coopGamePieceCount,totalChargeStationPoints,foulCount,techFoulCount,g405Penalty,h111Penalty,adjustPoints,foulPoints,rp,totalPoints
0,Blue,No,None,Docked,Yes,None,Docked,Yes,None,Park,"{'T': ['None', 'Cube', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'Cube']}",2,6,15,False,NotLevel,9,0,"{'T': ['None', 'Cube', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'Cone', 'None', 'None', 'Cone'], 'B': ['None', 'None', 'Cube', 'Cube', 'Cube', 'Cube', 'Cube', 'Cube', 'Cube']}",10,40,18,0,20,2,Level,"[{'row': 'Bottom', 'nodes': [2, 3, 4]}, {'row': 'Bottom', 'nodes': [5, 6, 7]}]",10,False,False,True,4,20,0,0,False,False,0,5,2,70
1,Red,No,Docked,Docked,Yes,None,None,Yes,None,Park,"{'T': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']}",0,6,14,True,NotLevel,0,8,"{'T': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['Cone', 'Cube', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['None', 'Cone', 'None', 'Cube', 'None', 'None', 'Cone', 'Cone', 'None']}",6,26,14,0,10,2,Level,[],0,False,False,False,1,18,1,0,False,False,0,0,0,40
