Match,Team,Autonomous Cubos [AutoCubo3],Autonomous Cubos [AutoCubo2],Autonomous Cubos [AutoCubo1],Autonomous Conos [AutoCono3],Autonomous Conos [AutoCono2],Autonomous Conos [AutCono1],Auto Mobility: Left Community,Auto Charge station,Teleop Cubos [TOCubo3],Teleop Cubos [TOCubo2],Teleop Cubos [TOCubo1],Teleop Conos [TOCono3],Teleop Conos [TOCono2],Teleop Conos [TOCono1],Teleop Charge Station,Teleop Park,Defensive Rank,Aliance,Score_ind_comp,Score_ind_piezas,Ranking_Point_Activition,Ranking_Point_Sustanability,Score_team_pieces
40,3925.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,0,0,1,1,58
40,4414.0,0,0,0,1,0,0,1,12,1,0,0,2,0,3,10,1,2,Blue,54,27,1,1,58
40,4414.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,10,0,2,Blue,22,12,1,1,58
40,6017.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,10,1,3,Red,20,5,0,1,56
40,3128.2,0,0,0,1,0,0,1,0,5,0,0,4,0,0,10,1,2,Red,66,51,0,1,56
41,8006.0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,10,1,2,Blue,20,8,0,0,10
41,599.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1,1,Blue,14,2,0,0,10
41,3759.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Blue,3,0,0,0,10
41,589.0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,1,3,Red,14,9,1,1,65
41,4079.0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,10,1,2,Red,27,12,1,1,65
41,7157.0,0,0,0,0,0,1,1,12,2,1,1,4,2,0,10,1,2,Red,71,44,1,1,65
42,4322.0,0,0,0,1,0,0,0,0,0,0,1,2,0,3,10,1,2,Blue,36,24,0,1,59
42,973.0,0,0,1,1,0,0,1,12,1,0,1,3,0,2,0,1,2,Blue,52,35,0,1,59
42,8006.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Blue,2,0,0,1,59
42,696.0,1,0,0,0,0,0,1,0,1,1,0,2,3,0,10,0,3,Red,46,33,1,1,66
42,3863.0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,10,1,1,Red,22,2,1,1,66
42,6647.0,1,0,0,0,0,0,1,0,3,0,0,2,0,0,10,1,2,Red,46,31,1,1,66
43,3512.2,0,1,0,1,0,0,0,0,0,0,3,1,0,0,10,1,2,Blue,33,21,1,1,48
43,3128.0,0,0,0,1,0,0,0,12,1,0,3,2,0,0,10,1,2,Blue,51,27,1,1,48
43,1148.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Blue,0,0,1,1,48
43,4415.0,0,0,0,0,0,1,1,0,0,0,3,2,0,0,10,1,2,Red,34,19,1,1,58
43,599.0,1,0,0,0,0,0,1,12,1,0,0,3,3,2,10,1,2,Red,66,39,1,1,58
43,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Red,0,0,1,1,58
44,4079.0,0,0,0,0,0,0,0,12,0,1,1,0,0,2,10,1,2,Blue,33,9,1,1,42
44,696.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Blue,5,3,1,1,42
44,4414.0,0,0,0,2,0,1,1,0,1,0,1,0,2,1,10,1,2,Blue,45,30,1,1,42
44,7415.0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,10,1,2,Red,29,14,0,1,82
44,359.0,1,1,0,1,0,0,1,0,1,1,1,3,3,0,0,1,3,Red,55,50,0,1,82
44,9084.0,0,0,0,1,0,0,1,0,0,0,5,0,0,1,10,1,2,Red,33,18,0,1,82
45,4276.0,1,0,0,0,0,0,1,12,1,0,4,0,0,0,10,1,2,Blue,46,19,1,1,42
45,2102.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Blue,2,0,1,1,42
45,3512.0,0,0,0,1,0,0,1,0,0,0,0,3,0,1,10,1,2,Blue,38,23,1,1,42
45,8006.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,Red,12,0,0,0,24
45,973.0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,1,3,Red,26,24,0,0,24
46,3647.0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,2,Blue,12,9,0,1,37
46,3512.2,0,0,0,1,0,0,1,0,1,0,2,2,1,0,10,1,2,Blue,43,28,0,1,37
46,6647.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,3,Blue,12,0,0,1,37
46,3863.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Red,0,0,0,0,14
46,7102.0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,10,0,3,Red,28,6,0,0,14
46,3925.0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,Red,11,8,0,0,14
47,589.0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,2,Blue,9,4,0,1,46
47,3647.2,0,0,0,1,0,0,1,0,0,0,5,0,0,0,10,1,2,Blue,31,16,0,1,46
47,3128.2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,10,1,2,Blue,38,26,0,1,46
47,2659.0,0,0,0,0,0,0,1,12,2,0,3,3,0,0,6,1,2,Red,54,31,1,1,52
47,4322.0,0,0,0,1,0,0,1,0,0,0,1,1,0,3,6,0,3,Red,28,19,1,1,52
47,4.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,1,Red,10,2,1,1,52
48,5887.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,Blue,7,2,0,0,35
48,1148.2,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,2,Blue,14,11,0,0,35
48,3128.0,0,0,0,1,0,0,0,12,1,0,3,1,0,0,0,1,2,Blue,36,22,0,0,35
48,5199.0,1,0,0,0,0,0,0,12,0,0,3,3,0,0,10,0,3,Red,49,27,1,1,43
48,6647.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,10,1,2,Red,23,11,1,1,43
48,3759.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,Red,8,5,1,1,43
49,4414.2,0,0,0,0,0,0,1,12,2,1,3,0,0,0,10,1,2,Blue,46,19,1,1,71
49,1148.0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,10,1,2,Blue,23,11,1,1,71
49,7157.0,0,1,0,1,0,0,1,0,0,0,0,5,2,0,10,1,2,Blue,56,41,1,1,71
49,8006.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,1,Red,15,0,1,0,8
49,4.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,0,3,Red,17,4,1,0,8
49,5124.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,1,2,Red,16,4,1,0,8
50,1197.0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,10,1,2,Blue,30,15,1,0,33
50,6017.0,0,0,0,1,0,0,0,12,2,0,0,0,0,1,0,1,2,Blue,32,18,1,0,33
50,599.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2,Blue,12,0,1,0,33
50,1138.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,Red,5,0,0,1,47
50,696.0,0,1,1,0,0,0,1,0,2,2,4,0,0,0,0,1,2,Red,36,31,0,1,47
50,4415.0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,10,0,3,Red,26,16,0,1,47
51,3863.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,10,1,1,Blue,23,11,1,1,74
51,5199.0,0,0,0,0,0,0,1,12,1,1,2,2,1,0,0,1,2,Blue,42,25,1,1,74
51,2659.0,0,0,0,1,0,1,1,0,1,1,0,3,2,0,10,1,2,Blue,53,38,1,1,74
51,599.0,1,0,0,0,0,0,0,12,1,1,0,3,0,0,10,0,3,Red,51,29,0,1,69
51,3759.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,Red,8,3,0,1,69
51,973.0,1,0,0,1,0,0,1,0,0,1,2,2,2,1,0,1,2,Red,42,37,0,1,69
52,4079.0,0,0,0,0,0,0,0,12,0,1,1,1,0,1,10,1,1,Blue,36,12,1,1,78
52,359.0,1,0,0,1,1,0,1,0,1,1,3,3,2,0,0,1,2,Blue,56,51,1,1,78
52,4322.0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,10,1,2,Blue,30,15,1,1,78
52,1148.0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,3,Red,25,15,1,1,85
52,4276.0,0,0,0,0,0,0,1,12,1,0,5,0,0,0,0,1,2,Red,32,15,1,1,85
52,5124.0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,10,1,2,Red,21,9,1,1,85
52,1138.0,0,0,0,1,0,0,0,0,2,0,0,4,2,2,0,1,2,Red,48,46,1,1,85
53,9084.0,0,0,0,1,0,0,1,0,2,0,0,1,0,2,10,1,2,Blue,40,25,1,1,56
53,3128.0,0,0,0,1,0,0,0,12,1,0,5,2,0,0,0,1,2,Blue,45,31,1,1,56
53,8006.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,Blue,12,0,1,1,56
53,4.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,6,0,3,Red,14,5,0,1,36
53,1148.2,0,0,0,1,0,0,0,8,1,0,2,2,2,0,6,1,2,Red,47,31,0,1,36
