Match,Team,Autonomous Cubos [AutoCubo3],Autonomous Cubos [AutoCubo2],Autonomous Cubos [AutoCubo1],Autonomous Conos [AutoCono3],Autonomous Conos [AutoCono2],Autonomous Conos [AutCono1],Auto Mobility: Left Community,Auto Charge station,Teleop Cubos [TOCubo3],Teleop Cubos [TOCubo2],Teleop Cubos [TOCubo1],Teleop Conos [TOCono3],Teleop Conos [TOCono2],Teleop Conos [TOCono1],Teleop Charge Station,Teleop Park,Defensive Rank,Aliance,Score_ind_comp,Score_ind_piezas,Ranking_Point_Activition,Ranking_Point_Sustanability,Score_team_pieces
10,4414.0,0,0,0,3,0,0,1,0,1,1,4,2,0,1,0,1,3,Red,51,46,1,1,81
10,8006.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,1,1,Red,20,5,1,1,81
11,3128.2,0,0,0,1,0,0,1,12,1,0,0,0,0,0,6,1,2,Blue,34,11,0,0,28
11,3512.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,2,Blue,13,5,0,0,28
11,9084.0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0,0,2,Blue,15,12,0,0,28
11,5124.0,0,0,0,0,0,0,1,0,2,2,7,0,0,0,10,1,3,Red,45,30,1,1,69
11,4414.2,1,0,0,0,0,1,0,12,2,2,7,0,0,0,10,1,2,Red,63,39,1,1,69
12,8006.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,1,3,Blue,17,2,0,1,37
12,3647.0,1,1,0,0,0,0,1,0,0,0,3,1,2,1,6,0,3,Blue,38,29,0,1,37
12,696.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,Blue,11,6,0,1,37
12,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,0,0,0,0,25
12,4.0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,10,1,1,Red,24,9,0,0,25
12,6647.0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,Red,21,16,0,0,25
13,3512.0,0,0,0,1,0,0,0,12,1,0,3,0,0,1,0,0,2,Blue,31,19,0,0,21
13,3759.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,2,Blue,11,0,0,0,21
13,6647.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,2,Blue,10,2,0,0,21
13,1148.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,Red,6,6,1,1,48
13,2102.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,Red,12,0,1,1,48
13,359.0,1,0,0,1,0,0,1,12,1,1,0,2,2,3,6,0,2,Red,63,42,1,1,48
14,7157.0,0,0,0,0,0,0,0,8,0,2,2,1,2,0,10,1,2,Blue,41,21,1,1,71
14,2659.0,0,0,0,3,0,0,1,0,1,0,0,3,2,0,10,1,3,Blue,59,44,1,1,71
14,5887.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,Blue,11,6,1,1,71
14,9282.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,Red,3,0,0,1,41
14,6017.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Red,11,11,0,1,41
14,4415.0,0,0,0,0,0,0,1,0,1,3,8,0,0,0,0,0,2,Red,33,30,0,1,41
15,5199.0,0,0,0,0,0,0,1,0,1,0,5,4,1,0,10,1,2,Blue,53,38,1,1,64
15,5124.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,2,Blue,15,0,1,1,64
15,599.0,1,0,0,0,0,0,1,0,1,0,0,2,1,1,10,1,2,Blue,41,26,1,1,64
15,589.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10,1,1,Red,17,2,0,0,22
